馬名,血統登録番号,性別,所属,調教師名,種牡馬名,母名,母の父名,馬主名,生産者名,毛色,生年月日,本賞金,収得賞金,前走馬体重,全成績1着数,全成績2着数,全成績3着数,全成績着外数,芝成績1着数,芝成績2着数,芝成績3着数,芝成績着外数,ダート成績1着数,ダート成績2着数,ダート成績3着数,ダート成績着外数,データ作成日,抹消,登録日,抹消日
ディスラプション,24100054,牡,美,加藤士津,マインドユアビスケッツ,ミッシングリンク,ヴィクトワールピサ,小田吉男,天羽禮治牧場,栗毛,240426,0,0,   0,0,0,0,0,0,0,0,0,0,0,0,0,250929,不在,250925,000000
プッシュザボタン,24100079,牡,美,和田正一,キセキ,モデレイト,ダノンシャンティ,和田牧場,新井昭二牧場,鹿毛,240331,0,0,   0,0,0,0,0,0,0,0,0,0,0,0,0,260409,在厩,250925,000000
サノノキセキ,24100178,牡,美,尾形和幸,キセキ,メメクザリアーナ,ジャングルポケット,佐野信幸,沖田牧場,鹿毛,240327,0,0,   0,0,0,0,0,0,0,0,0,0,0,0,0,250929,不在,250925,000000
インキタトゥス,24100283,牡,美,清水英克,ビッグアーサー,クラウンデュナミス,ダンディコマンド,矢野恭裕,クラウン日高牧場,鹿毛,240228,0,0,   0,0,0,0,0,0,0,0,0,0,0,0,0,250929,不在,250925,000000
ナショナルフラッグ,24100290,牡,栗,中竹和也,ゴールドシップ,プレイスオブアーナー,"First Samurai",矢野悦三,クラウン日高牧場,芦毛,240301,0,0,   0,0,0,0,0,0,0,0,0,0,0,0,0,250929,不在,250925,000000
クラウンスティーズ,24100291,牡,美,天間昭一,クラウンレガーロ,マリノアルカディア,エイシンフラッシュ,矢野恭裕,クラウン日高牧場,鹿毛,240301,0,0,   0,0,0,0,0,0,0,0,0,0,0,0,0,250929,不在,250925,000000
クラウンサンダー,24100294,牡,美,牧光二　,チュウワウィザード,マリノオークション,シンボリクリスエス,矢野雅子,クラウン日高牧場,青鹿,240313,0,0,   0,0,0,0,0,0,0,0,0,0,0,0,0,250929,不在,250925,000000
スマッシュブラウン,24100297,牡,美,小野次郎,ダノンスマッシュ,マリノディアナ,カルストンライトオ,矢野まり子,クラウン日高牧場,栃栗,240305,0,0,   0,0,0,0,0,0,0,0,0,0,0,0,0,251222,不在,250925,000000
クラウントリオンフ,24100298,牡,美,本間忍　,ヴァンセンヌ,マリノトップレディ,トウカイテイオー,矢野恭裕,クラウン日高牧場,鹿毛,240411,0,0,   0,0,0,0,0,0,0,0,0,0,0,0,0,260122,不在,250925,000000
テムルーラー,24100321,牡,栗,宮地貴稔,ルーラーシップ,ダイワストリーム,ダイワメジャー,竹園正繼,グッドラック・ファーム,鹿毛,240222,0,0,   0,0,0,0,0,0,0,0,0,0,0,0,0,250929,不在,250925,000000
