年,月,日,回次,場所,日次,レース番号,レース名,クラスコード,芝・ダ,コースコード,距離,馬場状態,馬名,性別,年齢,騎手名,斤量,頭数,馬番,確定着順,入線着順,異常コード,着差タイム,人気順,走破タイム,走破時計,,通過順1,通過順2,通過順3,通過順4,上がり3Fタイム,馬体重,調教師,所属地,賞金,血統登録番号,騎手コード,調教師コード,レースID,現馬主名,生産者名,父馬名,母馬名,母の父馬名,毛色,生年月日,単勝オッズ,馬印1,レース印1,PCI
26,02,22,1,東京,8,12,大島特別･2勝,43,ダ,1,1400,良,アスクアイルビゼア,牡,5,坂井瑠星,58.0,16,03,1,1,0,-0.1,1,84.2,"1242",0,0,0,3,3,36.5,462,矢作芳人,栗,1580,21102154,01163,01075,0526181203,,,,,,,,   4.3,  ,    ,48.0
26,02,22,1,東京,8,12,大島特別･2勝,43,ダ,1,1400,良,セントラルヴァレー,セ,5,岩田望来,58.0,16,10,2,2,0,0.1,5,84.3,"1243",0,0,0,6,6,36.2,482,栗田徹,美,630,21110161,01174,01127,0526181210,,,,,,,,   7.4,  ,    ,49.7
26,02,22,1,東京,8,12,大島特別･2勝,43,ダ,1,1400,良,ベラジオワールド  ,牡,4,横山和生,57.0,16,04,3,3,0,0.2,4,84.4,"1244",0,0,0,11,11,35.6,504,伊藤大士,美,400,22110130,01140,01109,0526181204,,,,,,,,   5.9,  ,    ,52.8
26,02,22,1,東京,8,12,大島特別･2勝,43,ダ,1,1400,良,マサノユニコーン  ,牡,4,菅原明良,58.0,16,09,4,4,0,0.3,6,84.5,"1245",0,0,0,4,5,36.5,470,小島茂之,美,240,22107130,01179,01068,0526181209,,,,,,,,  11.5,  ,    ,48.6
26,02,22,1,東京,8,12,大島特別･2勝,43,ダ,1,1400,良,カネショウレジェン,牡,4,ルメール,58.0,16,16,5,5,0,0.5,2,84.7,"1247",0,0,0,9,10,36,490,稲垣幸雄,美,158,22102790,05339,01167,0526181216,,,,,,,,   5.1,  ,    ,51.5
26,02,22,1,東京,8,12,大島特別･2勝,43,ダ,1,1400,良,クォーツァイト    ,牝,5,原優介,56.0,16,11,6,6,0,0.6,13,84.8,"1248",0,0,0,1,1,37.7,480,斎藤誠,美,0,21104777,01184,01086,0526181211,,,,,,,, 127.7,  ,    ,43.7
26,02,22,1,東京,8,12,大島特別･2勝,43,ダ,1,1400,良,キョウエイカンセ  ,牡,5,長浜鴻緒,58.0,16,05,7,7,0,0.7,8,84.9,"1249",0,0,0,11,11,36.1,506,萱野浩二,美,0,21101905,01214,01024,0526181205,,,,,,,,  20.9,  ,    ,51.4
26,02,22,1,東京,8,12,大島特別･2勝,43,ダ,1,1400,良,フィリップ        ,牡,5,津村明秀,58.0,16,01,8,8,0,0.8,11,85,"1250",0,0,0,4,4,37.2,494,岩戸孝樹,美,0,21102797,01092,01051,0526181201,,,,,,,,  48.2,  ,    ,46.4
26,02,22,1,東京,8,12,大島特別･2勝,43,ダ,1,1400,良,エーデル          ,牝,5,岩田康誠,56.0,16,14,9,9,0,1.2,10,85.4,"1254",0,0,0,16,16,35.7,480,金成貴史,美,0,21105321,05203,01132,0526181214,,,,,,,,  43.2,  ,    ,54.4
26,02,22,1,東京,8,12,大島特別･2勝,43,ダ,1,1400,良,フクチャントウメイ,牡,5,吉田豊,58.0,16,13,10,10,0,1.3,15,85.5,"1255",0,0,0,14,13,36.5,536,加藤征弘,美,0,21105086,00733,01059,0526181213,,,,,,,, 272.2,  ,    ,50.7
26,02,22,1,東京,8,12,大島特別･2勝,43,ダ,1,1400,良,トラヴェリンバンド,牡,4,横山武史,58.0,16,15,11,11,0,1.4,9,85.6,"1256",0,0,0,8,8,37.1,474,西村真幸,栗,0,22104009,01170,01148,0526181215,,,,,,,,  24.5,  ,    ,48.0
26,02,22,1,東京,8,12,大島特別･2勝,43,ダ,1,1400,良,リアルクィーン    ,牝,4,佐々木大,56.0,16,08,12,12,0,1.5,14,85.7,"1257",0,0,0,13,14,36.6,460,中川公成,美,0,22107288,01197,01081,0526181208,,,,,,,, 177.7,  ,    ,50.6
26,02,22,1,東京,8,12,大島特別･2勝,43,ダ,1,1400,良,アンクエンチャブル,セ,5,三浦皇成,58.0,16,02,13,13,0,1.6,3,85.8,"1258",0,0,0,2,2,38.2,526,高柳瑞樹,美,0,21101660,01122,01118,0526181202,,,,,,,,   5.3,  ,    ,43.5
26,02,22,1,東京,8,12,大島特別･2勝,43,ダ,1,1400,良,ヤマニンバロネス  ,牝,4,武豊,56.0,16,07,14,14,0,1.7,7,85.9,"1259",0,0,0,9,8,37.4,472,千田輝彦,栗,0,22106609,00666,01120,0526181207,,,,,,,,  12.7,  ,    ,47.3
26,02,22,1,東京,8,12,大島特別･2勝,43,ダ,1,1400,良,イブニングタイド  ,牝,4,荻野極,56.0,16,12,15,15,0,2.1,12,86.3,"1263",0,0,0,6,6,38.1,460,林徹,美,0,22105232,01160,01163,0526181212,,,,,,,,  61.4,  ,    ,44.9
26,02,22,1,東京,8,12,大島特別･2勝,43,ダ,1,1400,良,ビッグショータイム,牡,5,木幡巧也,58.0,16,06,16,16,0,2.7,16,86.9,"1269",0,0,0,14,14,37.8,502,土田稔,美,0,21100626,01162,00417,0526181206,,,,,,,, 310.1,  ,    ,47.4
26,02,22,1,東京,8,11,フェブラG1,195,ダ,1,1600,良,コスタノヴァ      ,牡,6,ルメール,58.0,16,12,1,1,0,-0.1,2,95.4,"1354",0,0,0,10,12,35.2,488,木村哲也,美,15000,20103307,05339,01126,0526181112,,,,,,,,   3.4,  ,    ,52.6
26,02,22,1,東京,8,11,フェブラG1,195,ダ,1,1600,良,ウィルソンテソーロ,牡,7,川田将雅,58.0,16,14,2,2,0,0.1,3,95.5,"1355",0,0,0,7,7,35.7,486,高木登,美,6000,19102383,01088,01088,0526181114,,,,,,,,   5.4,  ,    ,50.5
26,02,22,1,東京,8,11,フェブラG1,195,ダ,1,1600,良,ダブルハートボンド,牝,5,坂井瑠星,56.0,16,09,3,3,0,0.2,1,95.6,"1356",0,0,0,6,5,36,476,大久保龍,栗,3800,21105700,01163,01058,0526181109,,,,,,,,   3.0,  ,    ,49.3
26,02,22,1,東京,8,11,フェブラG1,195,ダ,1,1600,良,ブライアンセンス  ,牡,6,岩田望来,58.0,16,03,4,4,0,0.3,10,95.7,"1357",0,0,0,10,9,35.6,524,斎藤誠,美,2300,20106565,01174,01086,0526181103,,,,,,,,  40.6,  ,    ,51.3
