年,月,日,回次,場所,日次,レース番号,レース名,クラスコード,芝・ダ,コースコード,距離,馬場状態,馬名,性別,年齢,騎手名,斤量,頭数,馬番,確定着順,入線着順,異常コード,着差タイム,人気順,走破タイム,走破時計,,通過順1,通過順2,通過順3,通過順4,上がり3Fタイム,馬体重,調教師,所属地,賞金,血統登録番号,騎手コード,調教師コード,レースID,現馬主名,生産者名,父馬名,母馬名,母の父馬名,毛色,生年月日,単勝オッズ,馬印1,レース印1,PCI
26,04,05,3,中山,4,12,２勝ｸﾗｽ,43,芝,8,1600,稍,リバーバレイト    ,牡,4,佐々木大,58.0,12,03,1,1,0,-0.4,2,94.6,"1346",0,0,2,2,2,34.5,460,堀宣行,美,1190,22105144,01197,01070,0626341203,,,,,,,,   3.0,  ,    ,54.5
26,04,05,3,中山,4,12,２勝ｸﾗｽ,43,芝,8,1600,稍,プリムツァール    ,牝,4,横山武史,56.0,12,12,2,2,0,0.4,1,95,"1350",0,0,2,2,3,34.9,464,蛯名正義,美,480,22105501,01170,01191,0626341212,,,,,,,,   2.4,  ,    ,53.3
26,04,05,3,中山,4,12,２勝ｸﾗｽ,43,芝,8,1600,稍,パワースナッチ    ,牡,4,杉原誠人,58.0,12,05,3,3,0,0.5,3,95.1,"1351",0,0,7,4,3,34.9,450,武市康男,美,300,22105807,01135,01089,0626341205,,,,,,,,   5.6,  ,    ,53.5
26,04,05,3,中山,4,12,２勝ｸﾗｽ,43,芝,8,1600,稍,シャンパンマーク  ,セ,5,丹内祐次,58.0,12,02,4,4,0,0.9,5,95.5,"1355",0,0,6,4,6,35.2,488,蛯名正義,美,180,21105252,01091,01191,0626341202,,,,,,,,  13.5,  ,    ,52.8
26,04,05,3,中山,4,12,２勝ｸﾗｽ,43,芝,8,1600,稍,レーヴブリリアント,牡,4,舟山瑠泉,56.0,12,11,5,5,0,1,4,95.6,"1356",0,0,7,4,3,35.4,454,田中博康,美,119,22105141,01221,01162,0626341211,,,,,,,,   9.0,  ,    ,52.0
26,04,05,3,中山,4,12,２勝ｸﾗｽ,43,芝,8,1600,稍,ロゼル            ,牡,6,横山琉人,58.0,12,08,6,6,0,1.2,9,95.8,"1358",0,0,4,9,9,35.1,494,大和田成,美,0,20106415,01192,01124,0626341208,,,,,,,,  42.7,  ,    ,53.8
26,04,05,3,中山,4,12,２勝ｸﾗｽ,43,芝,8,1600,稍,ラーテル          ,セ,6,原田和真,58.0,12,07,7,7,0,1.3,12,95.9,"1359",0,0,11,11,11,34.6,468,室井潔,美,0,20104285,01143,01221,0626341207,,,,,,,, 236.5,  ,    ,56.3
26,04,05,3,中山,4,12,２勝ｸﾗｽ,43,芝,8,1600,稍,ミラーダカリエンテ,牝,4,石田拓郎,53.0,12,01,8,8,0,1.3,7,95.9,"1359",0,0,1,1,1,36,476,相沢郁,美,0,22106803,01203,01020,0626341201,,,,,,,,  24.1,  ,    ,49.8
26,04,05,3,中山,4,12,２勝ｸﾗｽ,43,芝,8,1600,稍,マイネルフォルツァ,牡,6,石川裕紀,58.0,12,09,9,9,0,1.4,8,96,"1360",0,0,12,12,12,34.4,520,金成貴史,美,0,20105809,01150,01132,0626341209,,,,,,,,  35.4,  ,    ,57.4
26,04,05,3,中山,4,12,２勝ｸﾗｽ,43,芝,8,1600,稍,ケイケイ          ,セ,5,木幡巧也,58.0,12,10,10,10,0,1.5,6,96.1,"1361",0,0,4,7,6,35.7,480,杉浦宏昭,美,0,21103799,01162,01008,0626341210,,,,,,,,  24.0,  ,    ,51.5
26,04,05,3,中山,4,12,２勝ｸﾗｽ,43,芝,8,1600,稍,アンタノバラード  ,牝,6,黛弘人,56.0,12,06,11,11,0,1.5,10,96.1,"1361",0,0,9,8,8,35.6,448,伊藤大士,美,0,20106963,01109,01109,0626341206,,,,,,,, 113.2,  ,    ,52.0
26,04,05,3,中山,4,12,２勝ｸﾗｽ,43,芝,8,1600,稍,ダイシンバースディ,牡,5,武藤雅,58.0,12,04,12,12,0,1.8,11,96.4,"1364",0,0,9,10,9,35.4,488,戸田博文,美,0,21100104,01169,01054,0626341204,,,,,,,, 162.0,  ,    ,53.4
26,04,05,3,中山,4,11,美浦Ｓ･3勝,67,芝,0,2000,稍,ジュタ            ,牡,4,横山武史,58.0,16,14,1,1,0,0,2,121.5,"2015",0,5,5,5,4,34.8,500,矢作芳人,栗,1870,22104813,01170,01075,0626341114,,,,,,,,   5.1,  ,    ,56.8
26,04,05,3,中山,4,11,美浦Ｓ･3勝,67,芝,0,2000,稍,シャドウメテオ    ,牝,4,丹内祐次,56.0,16,01,2,2,0,0,4,121.5,"2015",0,11,10,9,7,34.5,462,金成貴史,美,750,22105454,01091,01132,0626341101,,,,,,,,   8.9,  ,    ,58.1
26,04,05,3,中山,4,11,美浦Ｓ･3勝,67,芝,0,2000,稍,ヤマニンアドホック,牡,5,石川裕紀,58.0,16,04,3,3,0,0.1,1,121.6,"2016",0,5,5,5,6,34.9,460,辻哲英,美,470,21106595,01150,01182,0626341104,,,,,,,,   3.5,  ,    ,56.5
26,04,05,3,中山,4,11,美浦Ｓ･3勝,67,芝,0,2000,稍,フクノブルーレイク,牡,4,松岡正海,58.0,16,06,4,4,0,0.2,6,121.7,"2017",0,7,7,7,7,34.8,458,竹内正洋,美,280,22101329,01085,01152,0626341106,,,,,,,,  12.4,  ,    ,57.0
26,04,05,3,中山,4,11,美浦Ｓ･3勝,67,芝,0,2000,稍,ダンツファイター  ,牡,4,佐々木大,58.0,16,11,5,5,0,0.4,9,121.9,"2019",0,1,1,1,1,35.8,556,蛯名正義,美,187,22102982,01197,01191,0626341111,,,,,,,,  19.3,  ,    ,53.1
26,04,05,3,中山,4,11,美浦Ｓ･3勝,67,芝,0,2000,稍,ホウオウスーペリア,牡,6,横山琉人,58.0,16,12,6,6,0,0.4,10,121.9,"2019",0,4,3,3,3,35.5,490,吉岡辰弥,栗,0,20103928,01192,01176,0626341112,,,,,,,,  19.9,  ,    ,54.3
26,04,05,3,中山,4,11,美浦Ｓ･3勝,67,芝,0,2000,稍,アマイ            ,牝,6,原優介,56.0,16,15,7,7,0,0.4,13,121.9,"2019",0,2,2,2,2,35.8,468,伊藤大士,美,0,20100809,01184,01109,0626341115,,,,,,,,  56.3,  ,    ,53.1
26,04,05,3,中山,4,11,美浦Ｓ･3勝,67,芝,0,2000,稍,クルミナーレ      ,牡,5,荻野極,58.0,16,08,8,8,0,0.4,3,121.9,"2019",0,7,7,7,7,35,508,池江泰寿,栗,0,21105503,01160,01071,0626341108,,,,,,,,   6.0,  ,    ,56.4
26,04,05,3,中山,4,11,美浦Ｓ･3勝,67,芝,0,2000,稍,トーアライデン    ,牡,6,丸山元気,58.0,16,13,9,9,0,0.6,12,122.1,"2021",0,3,3,3,4,35.7,502,河嶋宏樹,栗,0,20103168,01127,01198,0626341113,,,,,,,,  44.9,  ,    ,53.7
26,04,05,3,中山,4,11,美浦Ｓ･3勝,67,芝,0,2000,稍,ルクスビッグスター,牡,6,石橋脩,58.0,16,02,10,10,0,0.7,15,122.2,"2022",0,13,12,12,11,34.9,482,清水久詞,栗,0,20104297,01077,01110,0626341102,,,,,,,, 111.7,  ,    ,57.2
