race_date,venue,race_name,grade,distance,dist_band,n_horses,pred_horse,pred_score,pred_wp,pred_pop,pred_odds,edge,edge_band,actual_finish,actual_1st,hit_win,hit_place
2021-03-21,阪神,阪神大賞G2,G2,3000,2401m以上,12,アリストテレス,57.12,0.2726,1,1.3,-0.3427,マイナス,7,ディープボンド,False,False
2021-03-27,中山,日経賞G2,G2,2500,2401m以上,15,ワールドプレミア,55.28,0.2029,2,5.0,0.0429,0〜+0.06,3,ウインマリリン,False,True
2021-05-01,東京,青葉賞G2,G2,2400,2201〜2400m,18,キングストンボーイ,60.79,0.2395,1,3.3,-0.003,マイナス,2,ワンダフルタウン,False,True
2021-05-02,阪神,天皇賞春G1,G1,3200,2401m以上,17,オーソリティ,57.04,0.1748,6,12.2,0.1093,+0.06以上,10,ワールドプレミア,False,False
2021-05-15,中京,京都ハイJG2,G2,3900,2401m以上,11,スマートアペックス,63.89,0.1957,1,1.9,-0.2253,マイナス,3,マーニ,False,True
2021-05-23,東京,優駿牝馬G1,G1,2400,2201〜2400m,18,アカイトリノムスメ,62.9,0.2576,2,4.5,0.0798,+0.06以上,2,ユーバーレーベン,False,True
2021-05-30,東京,東京優駿G1,G1,2400,2201〜2400m,17,エフフォーリア,66.59,0.3105,1,1.7,-0.1601,マイナス,2,シャフリヤール,False,True
2021-05-30,東京,目黒記念ＨG2,G2,2500,2401m以上,16,グロンディオーズ,61.74,0.4037,1,3.1,0.1457,+0.06以上,4,ウインキートス,False,False
2021-10-10,阪神,京都大賞G2,G2,2400,2201〜2400m,14,アリストテレス,55.74,0.2061,1,3.6,-0.0161,マイナス,2,マカヒキ,False,True
2021-10-17,東京,東京ハイJG2,G2,3110,2401m以上,12,オジュウチョウサン,68.9,0.5914,1,2.1,0.2105,+0.06以上,3,ラヴアンドポップ,False,True
2021-10-24,阪神,菊花賞G1,G1,3000,2401m以上,18,オーソクレース,62.5,0.1919,3,5.4,0.0437,0〜+0.06,2,タイトルホルダー,False,True
2021-11-07,東京,アルゼンＨG2,G2,2500,2401m以上,15,オーソリティ,60.95,0.3663,1,3.0,0.0996,+0.06以上,1,オーソリティ,True,True
