race_date,venue,race_name,grade,distance,dist_band,n_horses,pred_horse,pred_score,pred_wp,pred_pop,pred_odds,edge,edge_band,actual_finish,actual_1st,hit_win,hit_place,edge_group,adopt_target,verdict
2021-05-02,阪神,天皇賞春G1,G1,3200,2401m以上,17,オーソリティ,57.04,0.1748,6,12.2,0.1093,+0.06以上,10,ワールドプレミア,False,False,A:+0.06以上,True,❌ 解禁否決
2021-05-23,東京,優駿牝馬G1,G1,2400,2201〜2400m,18,アカイトリノムスメ,62.9,0.2576,2,4.5,0.0798,+0.06以上,2,ユーバーレーベン,False,True,A:+0.06以上,True,❌ 解禁否決
2021-05-30,東京,東京優駿G1,G1,2400,2201〜2400m,17,エフフォーリア,66.59,0.3105,1,1.7,-0.1601,マイナス,2,シャフリヤール,False,True,C:マイナス,False,❌ 解禁否決
2021-10-24,阪神,菊花賞G1,G1,3000,2401m以上,18,オーソクレース,62.5,0.1919,3,5.4,0.0437,0〜+0.06,2,タイトルホルダー,False,True,B:0〜+0.06,False,❌ 解禁否決
2021-11-28,東京,ＪＣG1,G1,2400,2201〜2400m,18,コントレイル,66.48,0.394,1,1.6,-0.106,マイナス,1,コントレイル,True,True,C:マイナス,False,❌ 解禁否決
2021-12-25,中山,中山大障JG1,G1,4100,2401m以上,14,オジュウチョウサン,65.99,0.4228,2,3.3,0.1804,+0.06以上,1,オジュウチョウサン,True,True,A:+0.06以上,True,❌ 解禁否決
2021-12-26,中山,有馬記念G1,G1,2500,2401m以上,16,エフフォーリア,64.23,0.4131,1,2.1,0.0322,0〜+0.06,1,エフフォーリア,True,True,B:0〜+0.06,False,❌ 解禁否決
2022-05-01,阪神,天皇賞春G1,G1,3200,2401m以上,17,テーオーロイヤル,55.59,0.1822,4,9.9,0.1014,+0.06以上,3,タイトルホルダー,False,True,A:+0.06以上,True,❌ 解禁否決
2022-05-22,東京,優駿牝馬G1,G1,2400,2201〜2400m,17,スターズオンアース,62.07,0.1463,3,6.5,0.0232,0〜+0.06,1,スターズオンアース,True,True,B:0〜+0.06,False,❌ 解禁否決
2022-05-29,東京,東京優駿G1,G1,2400,2201〜2400m,18,ダノンベルーガ,63.58,0.1591,1,3.5,-0.0695,マイナス,4,ドウデュース,False,False,C:マイナス,False,❌ 解禁否決
2022-10-23,阪神,菊花賞G1,G1,3000,2401m以上,18,ジャスティンパレス,60.74,0.1199,4,9.7,0.0375,0〜+0.06,3,アスクビクターモア,False,True,B:0〜+0.06,False,❌ 解禁否決
2022-11-27,東京,ＪＣG1,G1,2400,2201〜2400m,18,デアリングタクト,68.86,0.3313,5,13.0,0.2698,+0.06以上,4,ヴェラアズール,False,False,A:+0.06以上,True,❌ 解禁否決
2022-12-24,中山,中山大障JG1,G1,4100,2401m以上,10,オジュウチョウサン,66.88,0.4678,1,2.4,0.1345,+0.06以上,6,ニシノデイジー,False,False,A:+0.06以上,True,❌ 解禁否決
2022-12-25,中山,有馬記念G1,G1,2500,2401m以上,16,ジャスティンパレス,64.27,0.2965,7,18.9,0.2541,+0.06以上,7,イクイノックス,False,False,A:+0.06以上,True,❌ 解禁否決
2023-04-15,中山,中山グラJG1,G1,4250,2401m以上,10,ミッキーメテオ,58.65,0.1765,2,4.3,-0.0096,マイナス,2,イロゴトシ,False,True,C:マイナス,False,❌ 解禁否決
2023-04-30,京都,天皇賞春G1,G1,3200,2401m以上,15,ジャスティンパレス,60.5,0.2808,2,4.3,0.0948,+0.06以上,1,ジャスティンパレス,True,True,A:+0.06以上,True,❌ 解禁否決
2023-05-21,東京,優駿牝馬G1,G1,2400,2201〜2400m,18,リバティアイランド,64.08,0.2251,1,1.4,-0.3463,マイナス,1,リバティアイランド,True,True,C:マイナス,False,❌ 解禁否決
2023-05-28,東京,東京優駿G1,G1,2400,2201〜2400m,17,タスティエーラ,61.81,0.1498,4,8.3,0.0534,0〜+0.06,1,タスティエーラ,True,True,B:0〜+0.06,False,❌ 解禁否決
2023-10-22,京都,菊花賞G1,G1,3000,2401m以上,17,タスティエーラ,67.0,0.254,2,4.7,0.0838,+0.06以上,2,ドゥレッツァ,False,True,A:+0.06以上,True,❌ 解禁否決
2023-11-26,東京,ＪＣG1,G1,2400,2201〜2400m,18,イクイノックス,65.85,0.2448,1,1.3,-0.3706,マイナス,1,イクイノックス,True,True,C:マイナス,False,❌ 解禁否決
2023-12-23,中山,中山大障JG1,G1,4100,2401m以上,12,ニシノデイジー,59.7,0.1583,3,6.6,0.0371,0〜+0.06,2,マイネルグロン,False,True,B:0〜+0.06,False,❌ 解禁否決
2023-12-24,中山,有馬記念G1,G1,2500,2401m以上,16,ドウデュース,62.5,0.1765,2,5.2,0.0227,0〜+0.06,1,ドウデュース,True,True,B:0〜+0.06,False,❌ 解禁否決
