race_date,venue,surface,distance,race_name,grade,winner,winner_odds,before_honmei,before_pop,before_odds,before_hit,after_honmei,after_pop,after_odds,after_hit,honmei_changed
2024-01-06,中山,芝,2000,中山金杯ＨG3,G3,リカンカブール    ,7.8,エピファニー      ,1,4.1,False,エピファニー      ,1,4.1,False,False
2024-01-06,京都,芝,1600,京都金杯ＨG3,G3,コレペティトール  ,16.5,アヴェラーレ      ,6,10.5,False,フリームファクシ  ,5,8.9,False,True
2024-01-07,中山,芝,1600,フェアリG3,G3,イフェイオン      ,12.6,キャプテンネキ    ,12,52.9,False,スティールブルー  ,1,2.4,False,True
2024-01-08,京都,芝,1600,シンザンG3,G3,ノーブルロジャー  ,4.9,ナイトスラッガー  ,4,9.7,False,エコロブルーム    ,1,2.8,False,True
2024-01-13,小倉,芝,2000,愛知杯ＨG3,G3,ミッキーゴージャス,2.0,ミッキーゴージャス,1,2.0,True,ミッキーゴージャス,1,2.0,True,False
2024-01-14,中山,芝,2000,京成杯G3,G3,ダノンデサイル    ,11.5,ドゥレイクパセージ,8,32.4,False,ドゥレイクパセージ,8,32.4,False,False
2024-01-14,京都,芝,2400,日経新春ＨG2,G2,ブローザホーン    ,4.1,サトノグランツ    ,3,5.9,False,サトノグランツ    ,3,5.9,False,False
2024-01-21,中山,芝,2200,アメリカG2,G2,チャックネイト    ,6.5,チャックネイト    ,3,6.5,True,チャックネイト    ,3,6.5,True,False
2024-01-21,京都,ダ,1800,東海ＳG2,G2,ウィリアムバローズ,5.5,オメガギネス      ,1,2.0,False,オメガギネス      ,1,2.0,False,False
2024-01-28,京都,芝,1200,シルクロＨG3,G3,ルガル            ,3.3,エターナルタイム  ,3,5.3,False,エターナルタイム  ,3,5.3,False,False
2024-01-28,東京,ダ,1400,根岸ＳG3,G3,エンペラーワケア  ,2.5,エンペラーワケア  ,1,2.5,True,エンペラーワケア  ,1,2.5,True,False
2024-02-04,京都,芝,1800,きさらぎG3,G3,ビザンチンドリーム,2.3,ビザンチンドリーム,1,2.3,True,ビザンチンドリーム,1,2.3,True,False
2024-02-04,東京,芝,1600,東京新聞G3,G3,サクラトゥジュール,33.8,アヴェラーレ      ,5,20.9,False,サクラトゥジュール,7,33.8,True,True
2024-02-10,東京,芝,1600,クイーンG3,G3,クイーンズウォーク,3.1,ルージュサリナス  ,10,52.4,False,アルセナール      ,3,4.3,False,True
2024-02-11,京都,芝,2200,京都記念G2,G2,プラダリア        ,4.0,ベラジオオペラ    ,1,2.2,False,ベラジオオペラ    ,1,2.2,False,False
2024-02-11,東京,芝,1800,共同通信G3,G3,ジャスティンミラノ,6.6,ジャンタルマンタル,1,2.5,False,ディマイザキッド  ,8,62.4,False,True
2024-02-17,京都,芝,1400,京都牝馬G3,G3,ソーダズリング    ,3.8,プレサージュリフト,4,8.5,False,ソーダズリング    ,2,3.8,True,True
2024-02-17,東京,芝,3400,ダイヤモＨG3,G3,テーオーロイヤル  ,3.1,サリエラ          ,1,2.6,False,サリエラ          ,1,2.6,False,False
2024-02-18,小倉,芝,1800,小倉大賞ＨG3,G3,エピファニー      ,5.8,エピファニー      ,3,5.8,True,エピファニー      ,3,5.8,True,False
2024-02-18,東京,ダ,1600,フェブラG1,G1,ペプチドナイル    ,38.0,ミックファイア    ,9,34.4,False,オメガギネス      ,1,3.2,False,True
2024-02-25,中山,芝,1800,中山記念G2,G2,マテンロウスカイ  ,16.1,ヒシイグアス      ,3,7.2,False,ヒシイグアス      ,3,7.2,False,False
2024-02-25,阪神,芝,1400,阪急杯G3,G3,ウインマーベル    ,3.4,ダノンティンパニー,2,3.8,False,ダノンティンパニー,2,3.8,False,False
2024-03-02,中山,芝,1200,オーシャG3,G3,トウシンマカオ    ,3.3,バルサムノート    ,8,17.7,False,キミワクイーン    ,5,11.0,False,True
2024-03-02,阪神,芝,1600,チューリG2,G2,スウィープフィート,9.7,ガルサブランカ    ,4,7.4,False,ガルサブランカ    ,4,7.4,False,False
2024-03-03,中山,芝,2000,弥生賞G2,G2,コスモキュランダ  ,34.9,ダノンエアズロック,2,3.1,False,ダノンエアズロック,2,3.1,False,False
2024-03-09,中山,芝,1800,中山牝馬ＨG3,G3,コンクシェル      ,8.8,フィアスプライド  ,1,4.3,False,フィアスプライド  ,1,4.3,False,False
2024-03-09,阪神,芝,3900,阪神スプJG2,G2,マイネルグロン    ,1.2,ロックユー        ,2,6.7,False,ロックユー        ,2,6.7,False,False
2024-03-10,中京,芝,2000,金鯱賞G2,G2,プログノーシス    ,2.7,ドゥレッツァ      ,1,1.9,False,ドゥレッツァ      ,1,1.9,False,False
2024-03-10,阪神,芝,1400,フィリーG2,G2,エトヴプレ        ,35.2,コラソンビート    ,1,1.8,False,セシリエプラージュ,12,42.2,False,True
2024-03-16,中京,芝,1400,ファルコG3,G3,ダノンマッキンリー,13.6,ソンシ            ,1,2.3,False,ソンシ            ,1,2.3,False,False
2024-03-16,中山,芝,1800,フラワーG3,G3,ミアネーロ        ,3.7,カンティアーモ    ,1,3.3,False,カンティアーモ    ,1,3.3,False,False
2024-03-17,中山,芝,1800,スプリンG2,G2,シックスペンス    ,2.9,シックスペンス    ,1,2.9,True,シックスペンス    ,1,2.9,True,False
2024-03-17,阪神,芝,3000,阪神大賞G2,G2,テーオーロイヤル  ,3.3,アンタンスルフレ  ,14,356.6,False,ワープスピード    ,6,12.8,False,True
2024-03-23,中山,芝,2500,日経賞G2,G2,シュトルーヴェ    ,6.3,クロミナンス      ,2,5.0,False,クロミナンス      ,2,5.0,False,False
2024-03-23,阪神,芝,1800,毎日杯G3,G3,メイショウタバル  ,9.4,ニュージーズ      ,2,3.5,False,ニュージーズ      ,2,3.5,False,False
2024-03-24,中京,芝,1200,高松宮記G1,G1,マッドクール      ,9.6,ビクターザウィナー,5,9.6,False,ママコチャ        ,3,8.0,False,True
2024-03-24,中山,ダ,1800,マーチＳＨG3,G3,ヴァルツァーシャル,11.4,ブライアンセンス  ,1,2.8,False,ブライアンセンス  ,1,2.8,False,False
2024-03-30,中山,芝,1600,ダービーＨG3,G3,パラレルヴィジョン,6.1,パラレルヴィジョン,2,6.1,True,パラレルヴィジョン,2,6.1,True,False
2024-03-31,阪神,芝,2000,大阪杯G1,G1,ベラジオオペラ    ,5.5,ローシャムパーク  ,3,6.0,False,ローシャムパーク  ,3,6.0,False,False
2024-04-06,中山,芝,1600,ニュージG2,G2,エコロブルーム    ,4.7,ボンドガール      ,1,3.2,False,エコロブルーム    ,3,4.7,True,True
2024-04-06,阪神,芝,1600,阪神牝馬G2,G2,マスクトディーヴァ,1.7,マスクトディーヴァ,1,1.7,True,マスクトディーヴァ,1,1.7,True,False
2024-04-07,阪神,芝,1600,桜花賞G1,G1,ステレンボッシュ  ,4.3,ステレンボッシュ  ,2,4.3,True,クイーンズウォーク,3,5.7,False,True
2024-04-13,中山,芝,4250,中山グラJG1,G1,イロゴトシ        ,12.2,マイネルグロン    ,1,1.1,False,マイネルグロン    ,1,1.1,False,False
2024-04-13,阪神,芝,1600,アーリンG3,G3,ディスペランツァ  ,3.2,ディスペランツァ  ,1,3.2,True,シヴァース        ,3,4.6,False,True
2024-04-14,中山,芝,2000,皐月賞G1,G1,ジャスティンミラノ,4.8,ジャンタルマンタル,3,6.1,False,ジャンタルマンタル,3,6.1,False,False
2024-04-14,阪神,ダ,1800,アンタレG3,G3,ミッキーヌチバナ  ,8.9,ハギノアレグリアス,1,2.9,False,ハギノアレグリアス,1,2.9,False,False
2024-04-20,福島,芝,1800,福島牝馬G3,G3,コスタボニータ    ,4.4,グランベルナデット,2,6.2,False,グランベルナデット,2,6.2,False,False
2024-04-21,京都,芝,1600,マイラーG2,G2,ソウルラッシュ    ,2.4,セリフォス        ,2,3.1,False,セリフォス        ,2,3.1,False,False
2024-04-21,東京,芝,2000,フローラG2,G2,アドマイヤベル    ,4.0,トロピカルティー  ,5,8.9,False,トロピカルティー  ,5,8.9,False,False
2024-04-27,京都,ダ,1900,ユニコーG3,G3,ラムジェット      ,7.3,ムルソー          ,2,2.9,False,ミッキーファイト  ,1,2.8,False,True
2024-04-27,東京,芝,2400,青葉賞G2,G2,シュガークン      ,4.5,ヘデントール      ,1,3.5,False,ヘデントール      ,1,3.5,False,False
2024-04-28,京都,芝,3200,天皇賞春G1,G1,テーオーロイヤル  ,2.8,タスティエーラ    ,4,7.9,False,ドゥレッツァ      ,2,2.8,False,True
2024-05-04,京都,芝,2200,京都新聞G2,G2,ジューンテイク    ,17.7,ヴェローチェエラ  ,2,4.4,False,ヴェローチェエラ  ,2,4.4,False,False
2024-05-05,新潟,芝,2000,新潟大賞ＨG3,G3,ヤマニンサルバム  ,15.9,レーベンスティール,1,3.4,False,レーベンスティール,1,3.4,False,False
2024-05-05,東京,芝,1600,ＮＨＫマG1,G1,ジャンタルマンタル,2.9,アスコリピチェーノ,1,2.9,False,ゴンバデカーブース,4,9.7,False,True
2024-05-11,京都,芝,3930,京都ハイJG2,G2,サンデイビス      ,10.8,サクセッション    ,3,4.3,False,サクセッション    ,3,4.3,False,False
2024-05-11,東京,芝,1400,京王杯スG2,G2,ウインマーベル    ,3.7,ソーヴァリアント  ,5,8.5,False,ソーヴァリアント  ,5,8.5,False,False
2024-05-12,東京,芝,1600,ヴィクトG1,G1,テンハッピーローズ,208.6,マスクトディーヴァ,1,2.3,False,マスクトディーヴァ,1,2.3,False,False
2024-05-18,京都,ダ,1900,平安ＳG3,G3,ミトノオー        ,8.8,ミトノオー        ,5,8.8,True,ミトノオー        ,5,8.8,True,False
2024-05-19,東京,芝,2400,優駿牝馬G1,G1,チェルヴィニア    ,4.6,チェルヴィニア    ,2,4.6,True,チェルヴィニア    ,2,4.6,True,False
2024-05-25,京都,芝,1200,葵ＳG3,G3,ピューロマジック  ,24.1,エトヴプレ        ,1,2.9,False,エトヴプレ        ,1,2.9,False,False
2024-05-26,東京,芝,2400,東京優駿G1,G1,ダノンデサイル    ,46.6,ダノンエアズロック,5,12.7,False,レガレイラ        ,2,4.5,False,True
2024-05-26,東京,芝,2500,目黒記念ＨG2,G2,シュトルーヴェ    ,3.5,サトノグランツ    ,3,5.3,False,クロミナンス      ,2,3.8,False,True
2024-06-01,京都,芝,2000,鳴尾記念G3,G3,ヨーホーレイク    ,2.5,カラテ            ,8,55.5,False,ボッケリーニ      ,2,2.8,False,True
2024-06-02,東京,芝,1600,安田記念G1,G1,ロマンチックウォリ,3.6,ロマンチックウォリ,1,3.6,True,ソウルラッシュ    ,2,4.0,False,True
2024-06-09,函館,芝,1200,函館スプG3,G3,サトノレーヴ      ,3.6,サトノレーヴ      ,2,3.6,True,サトノレーヴ      ,2,3.6,True,False
2024-06-09,東京,芝,1800,エプソムG3,G3,レーベンスティール,3.6,レーベンスティール,1,3.6,True,レーベンスティール,1,3.6,True,False
2024-06-16,京都,芝,2000,マーメイＨG3,G3,アリスヴェリテ    ,9.1,ミッキーゴージャス,2,7.5,False,エーデルブルーメ  ,1,3.4,False,True
2024-06-22,東京,芝,3110,東京ジャJG3,G3,ジューンベロシティ,3.3,ロードトゥフェイム,7,21.4,False,ロードトゥフェイム,7,21.4,False,False
2024-06-23,京都,芝,2200,宝塚記念G1,G1,ブローザホーン    ,7.5,ドウデュース      ,1,2.3,False,ドウデュース      ,1,2.3,False,False
2024-06-30,小倉,芝,1200,北九州記ＨG3,G3,ピューロマジック  ,7.3,サーマルウインド  ,1,4.5,False,サーマルウインド  ,1,4.5,False,False
2024-06-30,福島,芝,1800,ラジオNIＨG3,G3,オフトレイル      ,11.2,サトノシュトラーセ,1,5.1,False,サトノシュトラーセ,1,5.1,False,False
